id,fold,y_true,catboost_prediction,catboost_class
00008ff9,4,2,0.49743453972803164,0
000fd460,4,0,0.38692206560943504,0
00105258,1,0,0.5645918239364374,0
00115b9f,1,1,0.2894306973814904,0
001f3379,4,1,0.5575672748148833,0
0038ba98,2,0,0.7118559747170574,1
00abe655,4,0,0.5838512565380951,1
00ae59c9,1,1,0.8534302166135651,1
00c0cd71,5,2,0.4450421031313271,0
00d56d4b,2,0,0.0840071077362805,0
00e6167c,3,0,0.5581779728220484,1
00f332d1,4,1,0.9262982646962408,1
00f574e9,1,0,1.0457490746883784,2
01085eb3,1,0,1.0204182566029458,2
01182ce3,5,2,1.49143274184607,2
011e71c3,3,0,0.8594675590895069,1
012cadd8,2,0,0.3285538739918084,0
012e3869,4,0,0.10439617065950113,0
014c303e,5,0,0.3533922755565266,0
015ba5b1,2,2,1.2319768940684996,2
01cae1ef,3,0,0.6528567005067414,1
02073150,2,0,0.2515460506242482,0
0219f64a,1,2,0.535313841581527,0
02347f13,1,0,0.8633075508838706,1
026102c4,1,0,0.1630078386952798,0
02648a1c,4,0,0.653608985354584,1
026fcbc3,2,0,0.660428698693093,1
029a19c9,5,1,0.8920825003342063,1
02a01f18,2,0,0.23121750297461202,0
02c4cf7f,5,1,0.40518505048769654,0
02cebf33,3,1,1.1095113030799433,2
02cf7384,2,0,0.9139205863146658,2
02dcf62a,5,0,0.37231926593319276,0
02e56a7c,4,0,0.29342915572429257,0
0347462d,5,1,1.117504554968592,2
034f923b,2,0,1.157349222307168,2
0357a10e,4,1,0.3629806524942723,0
035c96dd,1,0,0.5088765457771889,0
0380e709,2,2,0.5434977497339817,1
03833cec,1,0,0.19419278396475093,0
0391e587,5,2,0.49687362431189175,0
03a5c2d6,1,0,0.5876834187428699,0
03a9019b,3,1,0.5265330940752623,0
03bf5026,1,0,0.4040242013216888,0
03f1c1c8,2,2,0.8415583896993537,1
0417c91e,5,0,0.06087908782805118,0
04370442,5,2,0.2994768690891685,0
045a0a94,2,2,1.1937470953410876,2
0471236c,5,0,0.0969201727679973,0
0499c3e8,1,1,0.7350401632808353,1
04ad419d,5,0,0.38575454310562196,0
04af8fdd,2,0,0.508471349923106,0
04afb6f9,4,2,0.6881838226407514,1
04b3cc70,4,0,0.3669560368994025,0
04bb1a76,3,2,0.7397769676695858,1
04cb2c30,2,1,0.4224456063666214,0
04d06a9c,5,1,0.552535656113193,0
04dc7df1,3,1,0.40029540920991613,0
