id,outer_fold,inner_fold,y_true,catboost_prediction
00008ff9,1,2,2,0.5099206527889899
000fd460,1,2,0,0.34822922588546856
001f3379,1,3,1,0.636144342551582
0038ba98,1,2,0,0.7323281254108736
00abe655,1,2,0,0.5502347413436972
00c0cd71,1,2,2,0.47101492509155596
00d56d4b,1,1,0,0.06925255288665477
00e6167c,1,2,0,0.5456306218017368
00f332d1,1,3,1,0.9675199947781858
01182ce3,1,2,2,1.222382163119609
011e71c3,1,2,0,0.881550624646577
012cadd8,1,1,0,0.3604244842054286
012e3869,1,1,0,0.08550874153869281
014c303e,1,2,0,0.3218704598650692
015ba5b1,1,3,2,1.0719526319172894
01cae1ef,1,2,0,0.6855409721493593
02073150,1,2,0,0.1961896147391159
02648a1c,1,2,0,0.6228304821775331
026fcbc3,1,1,0,0.7081791307297152
029a19c9,1,3,1,0.9304248391380514
02a01f18,1,3,0,0.24681480791787863
02c4cf7f,1,1,1,0.45733203914687043
02cebf33,1,1,1,1.1263617502791274
02cf7384,1,3,0,0.8055548915498858
02dcf62a,1,2,0,0.41259073886735853
02e56a7c,1,2,0,0.45719717910152036
0347462d,1,2,1,1.0361628115580295
034f923b,1,2,0,0.9365833997541204
0357a10e,1,1,1,0.3161094176480708
0380e709,1,3,2,0.6403709162724213
0391e587,1,3,2,0.5776926733182444
03a9019b,1,3,1,0.5037904122032463
03f1c1c8,1,3,2,0.827104587719018
0417c91e,1,1,0,0.022796296787086168
04370442,1,3,2,0.25461884012302577
045a0a94,1,1,2,1.1556495076608169
0471236c,1,3,0,0.09181295032505776
04ad419d,1,2,0,0.4228735223902088
04af8fdd,1,2,0,0.49869866778166017
04afb6f9,1,1,2,0.7529068167580607
04b3cc70,1,2,0,0.453232766867839
04bb1a76,1,3,2,0.7133995489541411
04cb2c30,1,3,1,0.44510215991949864
04d06a9c,1,1,1,0.4930145449812658
04dc7df1,1,3,1,0.388227923714465
052a1122,1,3,1,0.33846825492279753
053d7d31,1,1,0,0.5728151907748114
05777ce1,1,1,2,1.248263471338289
058990e9,1,3,1,0.7994204021602548
058d2812,1,3,2,0.9953190410517208
0598f669,1,1,0,0.5685624950322834
059eed01,1,3,0,0.12081022528165791
05bbed1b,1,3,0,0.09850879353033415
05d3d73a,1,3,0,0.2501890492961222
05db1b9b,1,1,0,0.4454708543631525
05e67680,1,2,0,0.5802856618809373
0610c066,1,1,0,0.1474695268031374
061f2866,1,2,2,1.1031415403398057
063353cc,1,2,0,0.973902724117435
063b16fc,1,2,1,0.8860539746242788
06472198,1,1,0,0.11636886027018845
064e8da5,1,2,0,0.09967373869124374
065801e3,1,2,0,0.7329115161212485
066343d4,1,1,0,0.3894378529076072
0668373f,1,2,2,0.445259313825402
0676ead5,1,3,0,0.41051873848312503
067b9287,1,3,1,0.4251099660441816
067de065,1,2,0,0.15951542608628577
06c8b2fb,1,3,0,0.060660457769100784
06eb8adb,1,2,0,0.17517951859649683
06ec8be3,1,1,1,0.4135869320561692
070386b2,1,3,0,0.5945226329690928
07048067,1,1,1,0.6722164951792222
0720320e,1,1,0,0.6333223447941078
0745c390,1,2,1,0.5459281223934039
077ac7a2,1,2,1,0.2715121403289249
07d879cf,1,3,1,0.717283722050077
08159c5e,1,1,0,0.771305401538598
082df556,1,2,0,0.8281973224903516
0844aee7,1,3,1,0.20035057377828303
08577722,1,1,0,0.23318058836523586
08660d12,1,3,2,0.9943323190427762
086d6e7f,1,3,0,0.1485039482262142
0884aca8,1,1,0,0.5743764721167913
089a6b19,1,3,0,1.076286776793931
08fa44ad,1,1,1,0.3614756426421598
09039272,1,1,0,0.457069241696566
092494ec,1,1,1,1.2631874526109381
0924b815,1,2,1,0.1370948991021117
09331bb8,1,3,2,0.9644631901775542
096bf063,1,1,2,0.7160929766076319
098d3c32,1,2,0,0.4025883824038148
09d80057,1,3,1,0.28301072587735704
09eeaba6,1,1,0,0.08434860940574485
09eeec14,1,1,2,0.4708906385906998
09f44fd2,1,1,0,0.24307510702624607
0a1afc11,1,3,0,0.23279777762300363
0a431608,1,1,0,1.1742192832530698
0a4b1425,1,1,0,0.1514352490849742
0a540797,1,1,0,0.3733252048173119
0a5f1214,1,2,0,0.4561608101527185
0a775819,1,2,2,1.3133260273999703
0a822c93,1,2,1,0.928241683401999
0a9159f8,1,1,0,0.5853132302271291
0a995f99,1,3,0,0.29779399006688956
0aa90ce7,1,3,0,0.5421895174109249
0aaf08ec,1,3,1,0.6853759636794251
0ac521c8,1,1,3,0.9190039970961053
0acac70c,1,1,1,0.9648916938440563
0adf511d,1,3,1,0.4690528283031884
0af81037,1,1,0,0.6207429245136407
0afb2535,1,2,0,0.6153163674206045
0b4014f0,1,1,0,0.7478910427011225
0b4f597e,1,1,0,0.19243091783259247
0b50f3fa,1,2,1,0.5824568929600519
0b6b07f6,1,1,0,0.29341733476419507
0b7c6100,1,3,0,0.6106817647997923
0b7d7aec,1,3,0,0.9689549635582235
0b7d9da6,1,2,0,0.3167163169060604
0ba53e53,1,2,2,0.21627355352800903
0bd89878,1,3,0,0.19893178099816444
0bdace00,1,3,0,0.4410934452766956
0bfe4fc9,1,3,1,0.7174923206214289
0c0a1576,1,3,0,0.10843833718543844
0c3d248f,1,1,0,0.2126184736779247
0c3d88cb,1,2,0,0.21810240380467866
0c794cf7,1,1,0,0.1835900801888376
0c83af0f,1,2,2,0.6595182961360694
0c98f822,1,3,1,1.0619185819051404
0cbe4e54,1,2,0,0.785419809248213
0cccc6bc,1,1,0,0.4110788561026212
0d01bbf2,1,3,0,0.332813264203663
0d279d77,1,3,0,0.5471548313501071
0d394928,1,2,0,0.4154126945903468
0d4800c8,1,3,1,0.9487629459200448
0d570d3e,1,3,2,0.6324836715187868
0d924604,1,3,0,0.26413833218055593
0ddab8ff,1,2,0,0.2662042730907131
0de01ae7,1,3,1,0.9497844065681699
0df4c27d,1,3,0,0.9543176367432799
0e3b0bd2,1,3,0,0.11751061668970358
0e951124,1,3,3,1.0949754934004
0e9c1be6,1,1,1,0.40663509218323424
0ec403df,1,3,2,0.9188326695570452
0ed2a3c8,1,2,1,0.22644950306383083
0eddd8e5,1,2,0,0.5734318330653614
0f4db4f2,1,3,0,0.7111219038436033
0f6b71c4,1,3,0,0.3090565770585001
0f7f3bf3,1,1,1,0.7576449265903556
0f9b8e65,1,2,1,0.7339219815138062
0fbb3ca5,1,3,1,1.07853098850702
0fc19fd9,1,1,0,0.15075887176281078
101774f0,1,1,0,0.026482219673652496
101c27f1,1,2,0,0.49016391632479805
10258585,1,1,1,0.18103119473332874
105e3f96,1,1,0,0.6738252127479591
10ad8c48,1,1,2,1.21760809131146
10be7f09,1,1,0,0.2752242566003027
10c0e99a,1,3,0,0.21122627602900912
10e46254,1,1,0,0.3134892950351858
113f5798,1,2,2,0.893779719827837
11477ed0,1,2,0,0.802451704213881
115d3db4,1,2,1,0.3699245174819118
11739de2,1,3,0,0.7226446865179507
1184a14a,1,2,0,0.2731715943207665
118b7733,1,1,1,0.4663935258916878
119d7562,1,2,1,1.079428037344842
119dd2e1,1,2,1,0.34133431711240914
119e181e,1,1,0,0.004188124926926329
11be5d2e,1,2,1,0.8264353158427393
11d1a5ac,1,1,0,0.589181126755933
11f7253c,1,1,3,1.0774693333493721
11f9b26c,1,3,0,0.09175263097501174
1225fd28,1,3,1,0.7476824435197543
12380b06,1,2,0,0.7813860984728024
1286dab7,1,1,0,0.28960636413276425
12a607f6,1,1,1,0.35481524019593524
12cbf30c,1,2,0,0.6940108466240431
12cfb064,1,2,0,0.16556637604644425
12f37ff2,1,2,1,0.21478824476222863
1301f65d,1,1,0,0.3281687669758208
1307c41a,1,3,0,0.22720997385543373
1314bc8c,1,1,0,0.9156701108413952
136894bc,1,2,0,1.0266391878354044
137baaec,1,2,2,0.6613472335429205
137fc699,1,3,1,0.3385358612484841
13a5e288,1,1,0,0.31287362159224874
13be5672,1,2,0,0.2744416342670798
13d2c419,1,1,0,0.1535847961099585
13eee030,1,1,1,0.6463719327641336
13fca10c,1,2,1,0.7773219681168911
14109652,1,2,2,0.9913770242219653
14391970,1,3,0,0.23601943899504457
1455e657,1,3,0,0.1398417765015158
